,site_id,strategy_id,list_type,line_id,adv_id,adv_vertical,name,goal,price,limit,avg_bid,max_bid,impressions,conversions,avg_imps_site,stdev_imps_site,win_rate_site,win_rate_strat,cvr_strat,cvr,line_cvr,hist_zscore,overlap,target_variable,win_rate_site_table,win_rate_strat_table
0,82932,313729,testing,20049,206.0,Travel,Nicole,0.0,3.95,10000.0,2.75,300.0,247,0,0,1.7166306,0.42377827,0.111431316,0.0,0.00119678577535,0.0,2.70836597586,0.0010662965,0,0.450094161959,0.249479312273
1,90474,313729,testing,20049,206.0,Travel,Nicole,0.0,3.95,10000.0,2.75,300.0,112,0,0,1.3043875,0.1630097,0.111431316,0.0,0.00123915737299,0.0,1.1886351769,0.0007030008,0,0.158050221566,0.249479312273
2,92345,313729,testing,20049,206.0,Travel,Nicole,0.0,3.95,10000.0,2.75,300.0,197,0,0,2.3103552,0.31835797,0.111431316,0.0,0.000728711222153,0.0,1.50328537484,0.0008728533,0,0.360591133005,0.249479312273
3,92415,313729,testing,20049,206.0,Travel,Nicole,0.0,3.95,10000.0,2.75,300.0,107,0,0,1.1100018,0.13319878,0.111431316,0.0,0.00589439214081,0.0,35.1536281134,0.0046143276,0,0.113716814159,0.249479312273
4,92425,313729,testing,20049,206.0,Travel,Nicole,0.0,3.95,10000.0,2.75,300.0,0,0,0,0.0,0.37931034,0.111431316,0.0,0.0,0.0,-0.0913783812175,0.0003444232,0,0.0193084867535,0.249479312273
5,94537,313729,testing,20049,206.0,Travel,Nicole,0.0,3.95,10000.0,2.75,300.0,211,0,0,1.321963,0.4592581,0.111431316,0.0,0.000880967709145,0.0,11.9973323426,0.002991292,0,0.436182019978,0.249479312273
6,95460,313729,testing,20049,206.0,Travel,Nicole,0.0,3.95,10000.0,2.75,300.0,6,0,0,0.1607797,0.25291827,0.111431316,0.0,0.00560423431037,0.0,46.5028291389,0.030549867,0,0.237113402062,0.249479312273
7,96565,313729,testing,20049,206.0,Travel,Nicole,0.0,3.95,10000.0,2.75,300.0,217,0,0,2.046967,0.12272593,0.111431316,0.0,0.00611734173695,0.0,34.1748301854,0.019122565,0,0.0889110889111,0.249479312273
8,112407,313729,testing,20049,206.0,Travel,Nicole,0.0,3.95,10000.0,2.75,300.0,21,0,0,0.33455345,0.034919757,0.111431316,0.0,0.00129653639563,0.0,2.91649061169,0.0021467474,0,0.23945267959,0.249479312273
9,116229,313729,testing,20049,206.0,Travel,Nicole,0.0,3.95,10000.0,2.75,300.0,1,0,0,0.053682588,0.5497797,0.111431316,0.0,0.000671591672263,0.0,0.387721020209,0.0011465047,0,0.419291338583,0.249479312273
10,380041,313729,testing,20049,206.0,Travel,Nicole,0.0,3.95,10000.0,2.75,300.0,296,0,0,2.3221996,0.49113476,0.111431316,0.0,0.00177679067185,0.0,6.86304247975,0.0022175193,0,0.58224852071,0.249479312273
11,393454,313729,testing,20049,206.0,Travel,Nicole,0.0,3.95,10000.0,2.75,300.0,297,0,0,2.1921291,0.15532155,0.111431316,0.0,0.000687757909216,0.0,1.37021556777,0.004449193,0,0.221616261775,0.249479312273
12,546018,313729,testing,20049,206.0,Travel,Nicole,0.0,3.95,10000.0,2.75,300.0,0,0,0,0.0,0.47655123,0.111431316,0.0,0.000879971840901,0.0,1.40205081642,0.0006511014,0,0.307829181495,0.249479312273
13,564389,313729,testing,20049,206.0,Travel,Nicole,0.0,3.95,10000.0,2.75,300.0,0,0,0,0.0,0.35766423,0.111431316,0.0,0.00965665236052,0.0,20.3518664425,0.0014484647,0,0.359129994942,0.249479312273
14,569548,313729,testing,20049,206.0,Travel,Nicole,0.0,3.95,10000.0,2.75,300.0,44,0,0,0.48888403,0.16273458,0.111431316,0.0,0.00181914118445,0.0,41.6761889478,0.0031941715,0,0.0981856990395,0.249479312273
15,625613,313729,testing,20049,206.0,Travel,Nicole,0.0,3.95,10000.0,2.75,300.0,0,0,0,0.0,0.29898074,0.111431316,0.0,0.00739897552647,0.0,28.0862981473,0.0028733388,0,0.305060065526,0.249479312273
16,869065,313729,testing,20049,206.0,Travel,Nicole,0.0,3.95,10000.0,2.75,300.0,0,0,0,0.0,0.29597703,0.111431316,0.0,0.00256880733945,0.0,4.92173118125,0.00046709448,0,0.131764705882,0.249479312273
17,973825294,313729,testing,20049,206.0,Travel,Nicole,0.0,3.95,10000.0,2.75,300.0,57,0,0,0.49915245,0.1480482,0.111431316,0.0,0.00823666689546,0.0,55.8104212388,0.004269904,0,0.0763143018655,0.249479312273
18,1086623532,313729,testing,20049,206.0,Travel,Nicole,0.0,3.95,10000.0,2.75,300.0,9,0,0,0.16552807,0.2897025,0.111431316,0.0,0.00393873085339,0.0,12.3515137888,0.008478473,0,0.173913043478,0.249479312273
19,1100897702,313729,testing,20049,206.0,Travel,Nicole,0.0,3.95,10000.0,2.75,300.0,119,0,0,1.0027978,0.2582122,0.111431316,0.0,0.00285846139011,0.0,85.4581984261,0.14883329,0,0.183104631218,0.249479312273
20,1131369597,313729,testing,20049,206.0,Travel,Nicole,0.0,3.95,10000.0,2.75,300.0,1,0,0,0.053682588,0.44810542,0.111431316,0.0,0.00112023898432,0.0,1.05105885609,6.605377e-05,0,0.64406779661,0.249479312273
21,1132996243,313729,testing,20049,206.0,Travel,Nicole,0.0,3.95,10000.0,2.75,300.0,0,0,0,0.0,0.82951653,0.111431316,0.0,0.0,0.0,-0.559915053036,0.00020759755,0,0.278446389497,0.249479312273
22,1143281430,313729,testing,20049,206.0,Travel,Nicole,0.0,3.95,10000.0,2.75,300.0,9,0,0,0.45326525,0.3082569,0.111431316,0.0,0.000750750750751,0.0,0.165416991172,0.0016135991,0,0.226724137931,0.249479312273
23,149,322002,testing,22891,1525.0,Philanthropy,Travis,8.0,3.0,5000.0,6.0,110.0,0,0,0,0.0,0.5671642,,,0.0077519379845,6.02181099944e-06,5.75836602044,0.0003379326,0,0.350993377483,0.454280440429
24,733,322002,testing,22891,1525.0,Philanthropy,Travis,8.0,3.0,5000.0,6.0,110.0,0,0,0,0.0,0.7537157,,,0.000314300680985,6.02181099944e-06,6.19142002899,0.0014643746,0,0.753715721164,0.454280440429
25,736,322002,testing,22891,1525.0,Philanthropy,Travis,8.0,3.0,5000.0,6.0,110.0,0,0,0,0.0,0.779392,,,0.000813140348024,6.02181099944e-06,16.0111575934,0.0012390862,0,0.778187919463,0.454280440429
26,873,322002,testing,22891,1525.0,Philanthropy,Travis,8.0,3.0,5000.0,6.0,110.0,7,0,0,0.5164767,0.40904716,,,0.00263504611331,6.02181099944e-06,11.9255011689,0.0004505768,0,0.625668449198,0.454280440429
27,1232,322002,testing,22891,1525.0,Philanthropy,Travis,8.0,3.0,5000.0,6.0,110.0,0,0,0,0.0,0.7785714,,,0.00212615166549,6.02181099944e-06,16.6490164297,0.0049563446,0,0.693744164332,0.454280440429
28,1406,322002,testing,22891,1525.0,Philanthropy,Travis,8.0,3.0,5000.0,6.0,110.0,0,0,0,0.0,0.5725368,,,0.000367444424031,6.02181099944e-06,4.29000198596,0.0013517304,0,0.557930739632,0.454280440429
29,1564,322002,testing,22891,1525.0,Philanthropy,Travis,8.0,3.0,5000.0,6.0,110.0,40,0,0,1.4501979,0.49571523,,,0.00113218228135,6.02181099944e-06,15.7389951468,0.0025908165,0,0.452466907341,0.454280440429
30,2974,322002,testing,22891,1525.0,Philanthropy,Travis,8.0,3.0,5000.0,6.0,110.0,0,0,0,0.0,0.22460473,,,0.000174581005587,6.02181099944e-06,0.665405575137,0.001126442,0,0.159181985879,0.454280440429
31,3586,322002,testing,22891,1525.0,Philanthropy,Travis,8.0,3.0,5000.0,6.0,110.0,31,0,0,2.0387928,0.5509273,,,0.00250223413762,6.02181099944e-06,58.9462249525,0.0042804796,0,0.540253071704,0.454280440429
32,3593,322002,testing,22891,1525.0,Philanthropy,Travis,8.0,3.0,5000.0,6.0,110.0,35,0,0,1.2930162,0.6783743,,,0.00135961930659,6.02181099944e-06,8.5126271311,0.0007885094,0,0.753153153153,0.454280440429
33,3809,322002,testing,22891,1525.0,Philanthropy,Travis,8.0,3.0,5000.0,6.0,110.0,10,0,0,0.31989193,0.52682453,,,0.00113378684807,6.02181099944e-06,15.7503599602,0.0003379326,0,0.589519650655,0.454280440429
34,3905,322002,testing,22891,1525.0,Philanthropy,Travis,8.0,3.0,5000.0,6.0,110.0,0,0,0,0.0,0.09837432,,,0.000950118764846,6.02181099944e-06,7.08005359123,0.0021402398,0,0.088402270884,0.454280440429
35,4098,322002,testing,22891,1525.0,Philanthropy,Travis,8.0,3.0,5000.0,6.0,110.0,0,0,0,0.0,0.60278165,,,0.0,6.02181099944e-06,-0.201208548354,0.0003379326,0,0.591626815844,0.454280440429
36,4689,322002,testing,22891,1525.0,Philanthropy,Travis,8.0,3.0,5000.0,6.0,110.0,0,0,0,0.0,0.044392522,,,0.00212765957447,6.02181099944e-06,2.93357394623,0.0002252884,0,0.044295462708,0.454280440429
37,81413,322002,testing,22891,1525.0,Philanthropy,Travis,8.0,3.0,5000.0,6.0,110.0,0,0,0,0.0,0.055555556,,,0.00163532297629,6.02181099944e-06,9.35522771755,0.000563221,0,1.0,0.454280440429
38,81947,322002,testing,22891,1525.0,Philanthropy,Travis,8.0,3.0,5000.0,6.0,110.0,1,0,0,0.061662193,0.93186814,,,0.00196206671027,6.02181099944e-06,15.9850243987,0.0009011536,0,0.943521594684,0.454280440429
39,82354,322002,testing,22891,1525.0,Philanthropy,Travis,8.0,3.0,5000.0,6.0,110.0,54,0,0,1.8765827,0.69870347,,,0.000366434591425,6.02181099944e-06,4.283601353,0.0020275956,0,0.727132125497,0.454280440429
40,82355,322002,testing,22891,1525.0,Philanthropy,Travis,8.0,3.0,5000.0,6.0,110.0,0,0,0,0.0,0.44019797,,,0.000587889476778,6.02181099944e-06,1.46238031017,0.0004505768,0,0.418039016975,0.454280440429
41,82422,322002,testing,22891,1525.0,Philanthropy,Travis,8.0,3.0,5000.0,6.0,110.0,0,0,0,0.0,0.5684534,,,0.00113830392715,6.02181099944e-06,7.77101708705,0.0004505768,0,0.540325151419,0.454280440429
42,90848,322002,testing,22891,1525.0,Philanthropy,Travis,8.0,3.0,5000.0,6.0,110.0,41,0,0,2.6118767,0.7280303,,,0.0,6.02181099944e-06,-0.121958857927,0.0004505768,0,0.728224654926,0.454280440429
43,91011,322002,testing,22891,1525.0,Philanthropy,Travis,8.0,3.0,5000.0,6.0,110.0,10,0,0,1.0185775,0.45360824,,,0.00514403292181,6.02181099944e-06,40.7318007267,0.0007885094,0,0.453608247423,0.454280440429
44,91115,322002,testing,22891,1525.0,Philanthropy,Travis,8.0,3.0,5000.0,6.0,110.0,0,0,0,0.0,0.7761472,,,0.000489955903969,6.02181099944e-06,12.3287381272,0.0025908165,0,0.65027027027,0.454280440429
45,91535,322002,testing,22891,1525.0,Philanthropy,Travis,8.0,3.0,5000.0,6.0,110.0,131,0,3,11.550989,0.66896987,,,0.000753579502638,6.02181099944e-06,6.27831572145,0.0010137978,0,0.668969849246,0.454280440429
46,93071,322002,testing,22891,1525.0,Philanthropy,Travis,8.0,3.0,5000.0,6.0,110.0,0,0,0,0.0,0.6519608,,,0.00727650727651,6.02181099944e-06,62.7317776061,0.0007885094,0,0.685714285714,0.454280440429
